compound,date,negative,positive,source,text,tweets ago
-0.4404,Thu Dec 14 00:41:08 +0000 2017,0.33,0.168,@FoxNews,.@TGowdySC: Mueller Probe 'Conflicts of Interest' Troublesome for an 'Objective FBI' https://t.co/dqLWbJ2aUJ,11
0.0,Thu Dec 14 00:36:39 +0000 2017,0.0,0.0,@FoxNews,".@AdamKinzinger on economy since @POTUS took office: ""People have reacted to [@realDonaldTrump's] presidency with 3… https://t.co/iGgPJAuJNg",12
0.4767,Thu Dec 14 00:33:04 +0000 2017,0.0,0.134,@FoxNews,".@AdamKinzinger on final tax bill: ""This is tax relief for everybody and it's gonna drive up middle class wages, it… https://t.co/awYUCFLtNu",13
0.0,Thu Dec 14 00:30:27 +0000 2017,0.0,0.0,@FoxNews,".@JessicaTarlov on anti-Trump text messages from FBI agents: ""We are a completely divided, partisan country at this… https://t.co/5x65Oh6ahW",14
0.4019,Thu Dec 14 00:24:06 +0000 2017,0.0,0.184,@FoxNews,WATCH: @jessebwatters Invites Special Guest for New Installment of 'Mom Texts' #TheFive https://t.co/OZTkUbsgqN,15
-0.8658,Thu Dec 14 00:15:21 +0000 2017,0.447,0.0,@FoxNews,"CNN now blames Anderson Cooper's assistant, mysterious gym 'hacker' for crude insult to Trump https://t.co/7kdak5PQdO",16
0.0,Thu Dec 14 00:12:31 +0000 2017,0.0,0.0,@FoxNews,".@TGowdySC on anti-Trump text messages: ""The notion that three [FBI] agents would be conspiring or plotting on how… https://t.co/wF1Bx7RJ5N",17
-0.1513,Thu Dec 14 00:08:35 +0000 2017,0.158,0.133,@FoxNews,".@TGowdySC on anti-Trump text messages: ""These are really bad facts if you care about an impartial, objective Depar… https://t.co/m3HfPeWH5q",18
-0.5423,Wed Dec 13 23:57:44 +0000 2017,0.149,0.0,@FoxNews,".@JonahNRO on anti-Trump texts sent by former Mueller aide: ""The optics on that look bad and I think it is...a hot… https://t.co/CCaNsTvW4J",19
-0.2411,Wed Dec 13 23:48:57 +0000 2017,0.089,0.0,@FoxNews,".@Marcshort45 on tax reform: ""I'm not sure the Democrats should be holding up the example of ObamaCare as one that… https://t.co/GjnCYZZH8Q",20
0.3612,Wed Dec 13 23:41:55 +0000 2017,0.0,0.116,@FoxNews,"RT @FoxNewsResearch: •Always Ready, Always There•
#OTD 1636, Origins of the Army National Guard were organized
•First militia regiments org…",21
-0.5423,Wed Dec 13 23:30:18 +0000 2017,0.28,0.0,@FoxNews,Cuomo calls female reporter's harassment question a 'disservice to women' https://t.co/PhlH5aArXu,22
-0.3182,Wed Dec 13 23:04:38 +0000 2017,0.277,0.0,@FoxNews,".@OMAROSA resigns from #Trump administration job 
https://t.co/nc2kPw4keS",23
0.6353,Wed Dec 13 22:48:01 +0000 2017,0.0,0.214,@FoxNews,".@Joy_Villa: ""@IvankaTrump actually pulled me aside and she said, 'I really want you to run. We need more strong wo… https://t.co/I2sxSS86ud",24
0.0,Wed Dec 13 22:39:45 +0000 2017,0.0,0.0,@FoxNews,".@SenJohnMcCain: ""Senator McCain is currently receiving treatment at Walter Reed Medical Center for normal side eff… https://t.co/CCHVOj3URV",25
0.7906,Wed Dec 13 22:39:05 +0000 2017,0.0,0.308,@FoxNews,"Pastor Leon Benjamin: ""It's time that we recognize that our president is making good on his promises. Thank you, Mr… https://t.co/WVCSXaf2J3",26
-0.5719,Wed Dec 13 22:37:09 +0000 2017,0.163,0.0,@FoxNews,".@kimguilfoyle: ""On ABC, CBS, and NBC, the reporting on @POTUS has been 91% negative over the past three months.""… https://t.co/RNpOB90qAV",27
-0.5859,Wed Dec 13 22:35:43 +0000 2017,0.286,0.0,@FoxNews,"Alabama's Doug Jones facing early pressure to vote with GOP, after upset victory https://t.co/OKY2tn7rXG",28
-0.6705,Wed Dec 13 22:25:00 +0000 2017,0.29,0.0,@FoxNews,"New York store owner, 80, shot and killed over 50 cents https://t.co/t8MTqk6cY1",29
-0.1027,Wed Dec 13 22:23:12 +0000 2017,0.123,0.0,@FoxNews,Texts of FBI agents reveal anti-Trump bias; Catherine Herridge reports. https://t.co/Nca2OnrKJt,30
0.0,Wed Dec 13 22:18:22 +0000 2017,0.0,0.0,@FoxNews,".@jessebwatters: ""[Roy Moore] is not a normal Republican candidate. The fact that you beat him by a hair I don't th… https://t.co/1PjIkKKFaT",31
-0.6597,Wed Dec 13 22:15:17 +0000 2017,0.375,0.0,@FoxNews,NYC subway bomb suspect appears in court from hospital bed https://t.co/XRdWD4VmPZ,32
0.2263,Wed Dec 13 22:13:54 +0000 2017,0.08,0.118,@FoxNews,"In his final speech pushing tax reform, @POTUS said the new tax guidelines favored the ""forgotten men and women of… https://t.co/8MhrvtVY1A",33
0.34,Wed Dec 13 22:12:56 +0000 2017,0.0,0.118,@FoxNews,".@cathymcmorris on tax reform bill: ""It is pro-family. It is pro-economic growth...I am excited about what it means… https://t.co/bifswWOeQP",34
0.5859,Wed Dec 13 21:52:02 +0000 2017,0.0,0.226,@FoxNews,".@SenatorStrange: ""I've been honored to serve and looking forward to the next chapter."" https://t.co/wMQ2tmLYv7",35
-0.3612,Wed Dec 13 21:49:08 +0000 2017,0.172,0.0,@FoxNews,.@POTUS made his closing argument for passing a sweeping tax reform package.  https://t.co/XomMrv6nNb https://t.co/gcs4i4YlR8,36
0.0,Wed Dec 13 21:36:26 +0000 2017,0.0,0.0,@FoxNews,".@KarlRove: ""Alabama remains a deep red state... The Republicans nominated the one person who could squander the se… https://t.co/tci1WO8XCE",37
-0.0516,Wed Dec 13 21:32:30 +0000 2017,0.13,0.0,@FoxNews,Report: Omarosa 'physically dragged' from White House grounds https://t.co/KFIaQWMX8q,38
-0.3612,Wed Dec 13 21:26:19 +0000 2017,0.116,0.0,@FoxNews,".@GDouglasJones: ""Going forward, this country has a debt that we owe to women everywhere who have had to endure the… https://t.co/13rZQsWYwe",39
-0.296,Wed Dec 13 21:23:55 +0000 2017,0.136,0.0,@FoxNews,"Trump announces Americans will see tax cuts by February, if plan passes on schedule https://t.co/pwn8hIeAqD",40
0.5859,Wed Dec 13 21:16:46 +0000 2017,0.0,0.202,@FoxNews,".@GDouglasJones: ""It has been an amazing day today. I have received calls from so many well-wishers."" https://t.co/HVH8FOZ5QW",41
0.0772,Wed Dec 13 21:15:16 +0000 2017,0.0,0.115,@FoxNews,".@GDouglasJones: ""I want to get involved as soon as I can."" https://t.co/s9gkoTVxva",42
0.0,Wed Dec 13 21:13:55 +0000 2017,0.0,0.0,@FoxNews,RT @FoxBusiness: #BreakingNews: The Dow Jones Industrial Average closed the day at a new record high. This is the 68th record close for the…,43
0.0,Wed Dec 13 21:12:08 +0000 2017,0.0,0.0,@FoxNews,".@GDouglasJones: We will ""try to find common ground."" https://t.co/DWETLgOgIl",44
0.7845,Wed Dec 13 21:07:45 +0000 2017,0.0,0.408,@FoxNews,".@SenatorStrange: ""I'm honored to have served... I'm proud of my record."" https://t.co/nfLqqPSd9Y",45
-0.1945,Wed Dec 13 21:07:19 +0000 2017,0.266,0.151,@FoxNews,".@SenatorStrange: ""I'm not bitter at all... There's no whining in politics."" https://t.co/ILAnk5uFXV",46
0.5859,Wed Dec 13 21:06:59 +0000 2017,0.0,0.192,@FoxNews,".@SenatorStrange: ""It is bittersweet... I've been honored to serve and looking forward to the next chapter."" https://t.co/tHllcUxmPb",47
0.7424,Wed Dec 13 21:06:18 +0000 2017,0.0,0.27,@FoxNews,Little brother to the rescue! When two-year-old Jash Lewis thought his sister needed help during her wrestling matc… https://t.co/trf4zhAMvc,48
-0.5859,Wed Dec 13 21:06:15 +0000 2017,0.286,0.0,@FoxNews,"Alabama's Doug Jones facing early pressure to vote with GOP, after upset victory https://t.co/OKY2tmPQz6",49
0.4767,Wed Dec 13 20:55:05 +0000 2017,0.0,0.279,@FoxNews,".@POTUS: ""We're proud to be The Deplorables."" https://t.co/rcgOINk3EO https://t.co/xKVOXNYanT",50
0.2263,Wed Dec 13 20:43:17 +0000 2017,0.08,0.118,@FoxNews,"In his final speech pushing tax reform, @POTUS said the new tax guidelines favored the ""forgotten men and women of… https://t.co/Vs8oUDdgzi",51
0.7906,Wed Dec 13 20:29:39 +0000 2017,0.0,0.308,@FoxNews,"Pastor Leon Benjamin: ""It's time that we recognize that our president is making good on his promises. Thank you, Mr… https://t.co/zTmKH1RXc5",52
0.399,Wed Dec 13 20:29:12 +0000 2017,0.0,0.124,@FoxNews,"RT @FoxBusiness: .@POTUS on tax reform: “We'll have very little Democratic support, probably none. And that's purely for political reasons.…",53
0.4767,Wed Dec 13 20:26:02 +0000 2017,0.0,0.162,@FoxNews,".@POTUS: ""Somebody else called me and everybody else 'the Deplorables'... We're proud to be The Deplorables."" https://t.co/cMoXerIJTP",54
0.128,Wed Dec 13 20:24:53 +0000 2017,0.0,0.073,@FoxNews,"RT @FoxBusiness: .@POTUS: “55 years ago this week, President John F. Kennedy – a Democrat – launched a historic effort to pass sweeping, to…",55
-0.296,Wed Dec 13 20:24:26 +0000 2017,0.099,0.0,@FoxNews,"RT @FoxBusiness: .@POTUS: If Congress sends me a bill before Christmas, Americans will see lower taxes beginning in February. Just two shor…",56
-0.2023,Wed Dec 13 20:24:20 +0000 2017,0.114,0.071,@FoxNews,"RT @FoxBusiness: .@POTUS: ""We want to give you, the American people, a giant tax cut for Christmas."" https://t.co/UiTm6Lxm6u",57
-0.4404,Wed Dec 13 20:21:25 +0000 2017,0.195,0.0,@FoxNews,".@POTUS: ""Unemployment is at a 17-year low... Pension and retirement accounts are soaring."" https://t.co/dtu9f3ExnY",58
0.7906,Wed Dec 13 20:19:53 +0000 2017,0.0,0.308,@FoxNews,"Pastor Leon Benjamin: ""It's time that we recognize that our president is making good on his promises. Thank you, Mr… https://t.co/h8XKfVjB2D",59
-0.128,Wed Dec 13 20:19:23 +0000 2017,0.081,0.0,@FoxNews,".@POTUS: ""Lowering taxes is neither a Republican or Democrat idea, but an American principle and an American idea."" https://t.co/JrjXWd7Yoz",60
0.5859,Wed Dec 13 20:09:49 +0000 2017,0.0,0.257,@FoxNews,".@POTUS: ""Millions of middle class families will win under our plan."" https://t.co/EEVNwNhq0b",61
0.6705,Wed Dec 13 20:07:50 +0000 2017,0.0,0.244,@FoxNews,".@POTUS: ""America is coming back bigger, and better, and stronger than ever before... America isn't content just by… https://t.co/4LfzgXBdjT",62
0.4767,Wed Dec 13 20:07:15 +0000 2017,0.0,0.307,@FoxNews,".@POTUS: ""As a country we're being respected again."" https://t.co/KontxpMFl6",63
0.1779,Wed Dec 13 20:06:04 +0000 2017,0.0,0.221,@FoxNews,".@POTUS: ""It makes America competitive again."" https://t.co/2yLonOBbGZ",64
-0.5367,Wed Dec 13 20:04:59 +0000 2017,0.19,0.0,@FoxNews,".@POTUS: ""The typical family of 4 earning $75,000 will see an income tax cut of more than $2,000, slashing their ta… https://t.co/9z0W8X1n4x",65
-0.2023,Wed Dec 13 20:04:07 +0000 2017,0.128,0.079,@FoxNews,".@POTUS: ""We want to give you, the American people, a giant tax cut for Christmas."" https://t.co/d5RSBZ5sdg",66
0.1027,Wed Dec 13 20:03:45 +0000 2017,0.102,0.121,@FoxNews,".@POTUS: ""As a candidate, I promised we would pass a massive tax cut for the everyday working American families who… https://t.co/NlGuwNO1tv",67
-0.2732,Wed Dec 13 20:01:35 +0000 2017,0.095,0.0,@FoxNews,"""The bill is going to cut taxes for American businesses, both big ones and small ones.""

EARLIER: @POTUS speaks at… https://t.co/6HzNgMlNnB",68
0.0,Wed Dec 13 20:00:46 +0000 2017,0.0,0.0,@FoxNews,SOON: @POTUS to give speech on taxes. https://t.co/GJnrSqyPHU,69
0.0,Wed Dec 13 20:00:06 +0000 2017,0.0,0.0,@FoxNews,TUNE IN: Senator @lutherstrange joins @TeamCavuto on “Your World” at 4p ET on Fox News Channel! https://t.co/c4sagwSdWn,70
0.0,Wed Dec 13 19:58:51 +0000 2017,0.0,0.0,@FoxNews,".@SpeakerRyan: ""Workers in 2018 will see more money in their paychecks because the tax code is going to be taking l… https://t.co/usZqoSkuXs",71
0.4939,Wed Dec 13 19:38:59 +0000 2017,0.0,0.186,@FoxNews,".@FLOTUS hugs the child of a military family during a ""Toys for Tots"" event in #WashingtonDC https://t.co/R0HPQFkf5d",72
-0.7003,Wed Dec 13 19:37:47 +0000 2017,0.392,0.0,@FoxNews,Heartbreaking video of starving polar bear stirs controversy among conservationists https://t.co/oT35oF4ZoN,73
-0.4588,Wed Dec 13 19:33:17 +0000 2017,0.2,0.0,@FoxNews,.@johnfund: Rule of law under siege: How rampant anti-Trump bias in the Russia probe threatens our democracy https://t.co/BohK5jKZHz,74
-0.2732,Wed Dec 13 19:32:01 +0000 2017,0.16,0.0,@FoxNews,".@Judgenap: Too Early to Say Mueller Probe Is Biased Against Trump
https://t.co/A9IiLid8sX",75
0.0,Wed Dec 13 19:22:03 +0000 2017,0.0,0.0,@FoxNews,".@RepSteveChabot: ""Let me just review a few facts about the supposedly 'unbiased' group of people that Mr. Mueller… https://t.co/sMBYfTSMql",76
-0.516,Wed Dec 13 19:15:44 +0000 2017,0.217,0.0,@FoxNews,".@RepPeteKing tweets that it's time for the GOP to ""DUMP Steve Bannon."" https://t.co/hc0D24tTFj",77
0.0,Wed Dec 13 19:10:00 +0000 2017,0.0,0.0,@FoxNews,Secret Santa pays off nearly $50G of layaways at Walmart in New Jersey (via @travfed)  https://t.co/yD08gik09j,78
-0.3182,Wed Dec 13 19:05:05 +0000 2017,0.119,0.0,@FoxNews,".@TGowdySC: ""This 'conflict of interest-free' senior agent of the FBI can't think of a single solitary American who… https://t.co/w32H0AZRai",79
-0.2732,Wed Dec 13 18:58:55 +0000 2017,0.095,0.0,@FoxNews,"""The bill is going to cut taxes for American businesses, both big ones and small ones.""

MOMENTS AGO: @POTUS speaks… https://t.co/6F7JEWFTX2",80
0.128,Wed Dec 13 18:55:00 +0000 2017,0.134,0.166,@FoxNews,"Las Vegas shooting victim leaves hospital, returns home for holidays (via @byKatherineLam)  https://t.co/KkkVGTyNP1",81
0.6801,Wed Dec 13 18:54:38 +0000 2017,0.0,0.219,@FoxNews,".@KatiePavlich: ""I don't think Steve Bannon wants to be in the Republican Party. He's made it very clear that his g… https://t.co/8dolsB4IzT",82
0.0,Wed Dec 13 18:49:39 +0000 2017,0.0,0.0,@FoxNews,"On @foxandfriends, @MichelleMalkin sounded off on the diversity visa program. https://t.co/oEOPiTKyFY https://t.co/nlB7f11ex8",83
-0.3818,Wed Dec 13 18:45:39 +0000 2017,0.265,0.0,@FoxNews,Rosenstein stands by Mueller probe as Republicans fume over 'insider bias' https://t.co/f3F4YhVzlC,84
-0.4215,Wed Dec 13 18:40:00 +0000 2017,0.203,0.0,@FoxNews,Controversy swirls around viral video of starving polar bear (via @jamesjrogers)  https://t.co/oT35oENo0d,85
0.0,Wed Dec 13 18:25:00 +0000 2017,0.0,0.0,@FoxNews,"State Department investigating injuries, deaths linked to alcohol consumption in Mexico https://t.co/NicvCdx7fE",86
0.0,Wed Dec 13 18:09:22 +0000 2017,0.0,0.0,@FoxNews,Republicans see silver lining in Doug Jones victory in Alabama (via @AlexPappas)  https://t.co/lqAak4d92v,87
-0.2732,Wed Dec 13 17:59:05 +0000 2017,0.095,0.0,@FoxNews,".@POTUS: ""The bill is going to cut taxes for American businesses, both big ones and small ones... Right now they're… https://t.co/03uWLD6Ss6",88
-0.296,Wed Dec 13 17:54:16 +0000 2017,0.167,0.0,@FoxNews,"Mom accused of subjecting son to 323 hospital visits, 13 surgeries https://t.co/7TZCyPYCVA",89
0.4939,Wed Dec 13 17:44:06 +0000 2017,0.0,0.158,@FoxNews,"In the wake of @GDouglasJones's #ALSen victory, @DNC Chair @TomPerez praised the contributions of #BlackWomen to De… https://t.co/OywokTr803",90
-0.1531,Wed Dec 13 17:40:00 +0000 2017,0.194,0.159,@FoxNews,9-year-old donates life savings to help sick kids #FoxNewsUS (via @christocarbone) https://t.co/r6cWjoYsD9 https://t.co/YjAcF086LR,91
-0.296,Wed Dec 13 17:38:54 +0000 2017,0.128,0.0,@FoxNews,"Texas teacher, 31, accused of sex with boy high school student she met in church https://t.co/4FwQW6NPnY",92
0.5106,Wed Dec 13 17:33:13 +0000 2017,0.096,0.227,@FoxNews,".@MichelleMalkin: ""It is crazy that so many years after 9/11 we continue to hand out like Pez candy visas."" https://t.co/10JAwD4ev8",93
-0.3182,Wed Dec 13 17:29:18 +0000 2017,0.119,0.0,@FoxNews,".@TGowdySC: ""This 'conflict of interest-free' senior agent of the FBI can't think of a single solitary American who… https://t.co/yKJNQJCDVb",94
-0.3818,Wed Dec 13 17:22:38 +0000 2017,0.231,0.0,@FoxNews,"Rosenstein stands by Mueller probe as Republicans fume over 'insider bias' - via @brookefoxnews
https://t.co/bo0OxZJ2vk",95
0.0,Wed Dec 13 17:21:29 +0000 2017,0.0,0.0,@FoxNews,"On Twitter, @SenGillibrand doubled down on her message of female empowerment after President @realDonaldTrump's bli… https://t.co/zW1y6dx23q",96
0.296,Wed Dec 13 17:18:08 +0000 2017,0.0,0.155,@FoxNews,Fusion GPS admits DOJ official's wife Nellie Ohr hired to probe Trump https://t.co/sd7whaLvS2,97
0.0,Wed Dec 13 16:57:00 +0000 2017,0.0,0.0,@FoxNews,Random shootings in California has community on edge (via @travfed)  https://t.co/LalgKzpcVP,98
0.3818,Wed Dec 13 16:54:50 +0000 2017,0.0,0.126,@FoxNews,".@DanCrenshawTX: ""I'm a SEAL and I'm always looking for the next way to protect and defend the American people."" https://t.co/fl4bXnCokO",99
-0.4019,Wed Dec 13 16:42:16 +0000 2017,0.184,0.0,@FoxNews,"MSNBC’s Mika Brzezinski blames Melania, Ivanka Trump in diatribe about president's tweet https://t.co/wPiYDQidDa",100
0.0,Thu Dec 14 01:59:06 +0000 2017,0.0,0.0,@nytimesworld,"Morning Briefing, Asia Edition: What you need to know to start your day. https://t.co/QqORzwI0SX",1
0.0,Thu Dec 14 01:29:03 +0000 2017,0.0,0.0,@nytimesworld,Muslim leaders declare East Jerusalem the Palestinian capital https://t.co/DBxVOuGDpi,2
-0.296,Thu Dec 14 01:00:28 +0000 2017,0.115,0.0,@nytimesworld,"Facebook, responding to pressure from Britain's Parliament about any effort by Russia to influence the ""Brexit"" vot… https://t.co/IdwiEfmok9",3
-0.1531,Thu Dec 14 00:30:28 +0000 2017,0.071,0.0,@nytimesworld,"Washington wants an ally in Honduras, but it has been cautious so far in its response to reports about a deeply fla… https://t.co/YwCtYu1P0s",4
0.0,Wed Dec 13 23:56:05 +0000 2017,0.0,0.0,@nytimesworld,"Russia's Internet Research Agency spent only 97 cents on Facebook ads related to ""Brexit"" in the two months before… https://t.co/TmU21bHwhw",5
0.802,Wed Dec 13 23:32:08 +0000 2017,0.0,0.275,@nytimesworld,“That day will be remembered in pizza history.” The greatest pizza makers of Naples rejoiced as their craft was rec… https://t.co/XIyqmCNye0,6
0.0,Wed Dec 13 23:00:21 +0000 2017,0.0,0.0,@nytimesworld,"Morning Briefing, Asia/Australia Edition: What you need to know to start your day. https://t.co/ZnpeUBdadp",7
0.0,Wed Dec 13 22:32:08 +0000 2017,0.0,0.0,@nytimesworld,"Conference of Muslim leaders, condemning President Trump for recognizing Jerusalem as the capital of Israel, declar… https://t.co/XIDLo8iquo",8
0.0,Wed Dec 13 21:29:04 +0000 2017,0.0,0.0,@nytimesworld,"Russia's Internet Research Agency spent only 97 cents on Facebook ads related to ""Brexit"" in the two months before… https://t.co/zWZ4napTwP",9
-0.5859,Wed Dec 13 20:24:05 +0000 2017,0.242,0.0,@nytimesworld,"As Muslim leaders condemn President Trump's Jerusalem declaration, Mahmoud Abbas says Palestinians will no longer a… https://t.co/E3UDlOhZGQ",10
-0.1027,Wed Dec 13 19:37:03 +0000 2017,0.11,0.09,@nytimesworld,"Facebook, confounding expectations, said it had found no evidence of a significant Russian effort to interfere in t… https://t.co/2PetkBsjk0",11
0.4574,Wed Dec 13 19:36:07 +0000 2017,0.0,0.15,@nytimesworld,"Pizza, pizza! Naples had a citywide party as its pizzaiuoli were designated an ""Intangible Heritage of Humanity"" by… https://t.co/PZJxiBeZXr",12
-0.4588,Wed Dec 13 19:08:15 +0000 2017,0.125,0.0,@nytimesworld,"RT @BenWeiserNYT: 1/3 Lawyers for Hakan Atilla, a Turkish banker on trial in NY, asked the judge to declare a mistrial, arguing that testim…",13
-0.8225,Wed Dec 13 18:22:03 +0000 2017,0.37,0.061,@nytimesworld,President Jacob Zuma of South Africa suffered a stinging legal defeat in his attempt to block a corruption inquiry… https://t.co/QE66ll0lvw,14
0.0,Wed Dec 13 18:03:06 +0000 2017,0.0,0.0,@nytimesworld,"Facebook sees little evidence that Russia used the platform to try to sway the ""Brexit"" referendum https://t.co/vl6MOvUPwU",15
-0.8481,Wed Dec 13 17:44:08 +0000 2017,0.338,0.0,@nytimesworld,"“They spent their lives in misery, they died in misery.” The forgotten bodies had names and families and stories, n… https://t.co/CCt0kmPXrO",16
0.5719,Wed Dec 13 17:28:06 +0000 2017,0.0,0.188,@nytimesworld,"“Finally, the world recognizes the capability of the pizza maker."" Naples's pizza-making masters celebrate, and cap… https://t.co/PI7AQTOf3N",17
-0.3818,Wed Dec 13 17:05:13 +0000 2017,0.154,0.096,@nytimesworld,RT @EricNagourney: A hard-fighting priest and his devoted crew do right by Haiti's dead as the bodies pile up. A moving account from the in…,18
0.0,Wed Dec 13 17:02:04 +0000 2017,0.0,0.0,@nytimesworld,"""This is something France will have to come to terms with,"" the Rwandan foreign minister said https://t.co/o21hYTweE5",19
-0.3818,Wed Dec 13 16:52:03 +0000 2017,0.106,0.0,@nytimesworld,"Most Haitians live on $2 a day or less. But even modest funerals start at $1,100. So the bodies of sons and mothers… https://t.co/nejrBRpGpZ",20
-0.9081,Wed Dec 13 16:51:08 +0000 2017,0.437,0.0,@nytimesworld,President Jacob Zuma of South Africa suffered a stinging defeat when the High Court rejected his efforts to block a… https://t.co/fIXcXfGaEP,21
-0.6486,Wed Dec 13 16:16:10 +0000 2017,0.261,0.0,@nytimesworld,"Two Reuters journalists have been arrested in Myanmar and accused of illegally possessing government documents, new… https://t.co/AIbfZXQPj4",22
-0.2732,Wed Dec 13 16:12:07 +0000 2017,0.12,0.06,@nytimesworld,A new report backed by the Rwandan government has accused France of complicity in the 1994 genocide https://t.co/KiKYrcvoJa,23
-0.8591,Wed Dec 13 16:11:02 +0000 2017,0.382,0.0,@nytimesworld,"A tech tycoon is among the latest in China to be named and shamed, accused of failing to pay his debts https://t.co/Djmr544Lho",24
-0.4767,Wed Dec 13 16:02:07 +0000 2017,0.14,0.0,@nytimesworld,"Donald Trump isn't the only world leader enamored with ""fake news."" Many autocrats and dictators the world over hav… https://t.co/UUvlA2ZeKY",25
-0.6486,Wed Dec 13 15:50:12 +0000 2017,0.185,0.0,@nytimesworld,These men collect the unclaimed dead and give them burials. They see themselves in the bodies they pick up.… https://t.co/4oitaZTtU5,26
0.0,Wed Dec 13 15:31:09 +0000 2017,0.0,0.0,@nytimesworld,"A Turkish police officer, carrying what he called evidence of high-level corruption, fled Turkey on a false passpor… https://t.co/HwZY11E3F0",27
0.0,Wed Dec 13 15:14:04 +0000 2017,0.0,0.0,@nytimesworld,Google pulled some of its core businesses from China in 2010. Now it is looking for ways to tiptoe back in. https://t.co/pIXcqq96iZ,28
0.5478,Wed Dec 13 15:04:14 +0000 2017,0.197,0.276,@nytimesworld,"No matter how rich in love they may be, most Haitians can’t pay for a funeral. The members of this burial team help… https://t.co/z8Fy7XthSS",29
0.0,Wed Dec 13 15:01:03 +0000 2017,0.0,0.0,@nytimesworld,Brazil has seen a sharp spike in H.I.V. cases among young men https://t.co/q1NTTqoEKv,30
0.5106,Wed Dec 13 14:59:07 +0000 2017,0.0,0.136,@nytimesworld,A baby born with her heart outside her chest has survived surgery. It's thought to be the first such case in Britai… https://t.co/T1ojzCJYNS,31
0.5267,Wed Dec 13 14:49:09 +0000 2017,0.0,0.227,@nytimesworld,Belgium’s blazing streetlights have prompted questions about the ties between the state and a huge energy company https://t.co/VWXIXWELtA,32
-0.5994,Wed Dec 13 14:34:45 +0000 2017,0.135,0.0,@nytimesworld,"See all of the stories in our series, The End, a global look at how we die and what it tells us about how we live https://t.co/jq683N74Qz",33
-0.5994,Wed Dec 13 14:32:07 +0000 2017,0.329,0.0,@nytimesworld,About three-quarters of the detained journalists were accused of antigovernment activities https://t.co/hakPRqQlSm,34
-0.7506,Wed Dec 13 14:32:04 +0000 2017,0.286,0.0,@nytimesworld,"""Anti-Semitism and hatred of Jews has no place in our society,"" said Sweden's prime minister, Stefan Lofven https://t.co/VYT3IVRFIQ",35
-0.4404,Wed Dec 13 14:25:10 +0000 2017,0.139,0.0,@nytimesworld,The U.S. Embassy called the arrests of two Reuters reporters in Myanmar “highly irregular” and urged the government… https://t.co/5gJ2ci7eCw,36
-0.5499,Wed Dec 13 14:17:07 +0000 2017,0.233,0.0,@nytimesworld,"At climate summit meeting, announcements of several initiatives, but no new binding requirements for cutting emissi… https://t.co/X81q29H9pF",37
0.0,Wed Dec 13 14:09:05 +0000 2017,0.0,0.0,@nytimesworld,"Got unpaid debts? In China, the government might end up publishing your name online https://t.co/jIdtBy2hCW",38
0.0,Wed Dec 13 14:02:07 +0000 2017,0.0,0.0,@nytimesworld,"After three surgeries, one within an hour of birth, a British infant has her heart in the right place. https://t.co/fXckdhgj37",39
0.0,Wed Dec 13 13:40:02 +0000 2017,0.0,0.0,@nytimesworld,"RT @EPovoledo A Roma Circus Makes a Home, and Builds Bridges, in Paris https://t.co/IZTzsfWXiW",40
